incident_source_id,source_record_id,date,registration,fatalities,source_url,year
135574,20121002020999A,2012-10-02,205324,0,,2012
11600,19850411073759A,1985-04-11,168905,0,,1985
102315,20020630027099I,2002-06-30,022385,0,,2002
127814,20100220027619I,2010-02-20,196642,0,,2010
153346,20191015017979A,2019-10-15,223078,0,,2019
34721,19881126067229I,1988-11-26,035656,0,,1988
122827,20080808855699I,2008-08-08,190299,0,,2008
153832,20200209004689I,2020-02-09,223977,0,,2020
78912,19980312012909I,1998-03-12,094372,0,,1998
104214,20021230037759A,2002-12-30,024071,0,,2002
140266,20140822017889A,2014-08-22,210655,0,,2014
102788,20020902028799I,2002-09-02,022536,0,,2002
23278,19870312007779A,1987-03-12,119130,0,,1987
109159,20040629015039A,2004-06-29,032827,0,,2004
16311,19860106003439I,1986-01-06,140464,0,,1986
44755,19900725040109I,1990-07-25,162158,0,,1990
18729,19860626027869A,1986-06-26,115005,0,,1986
134395,20120620019439I,2012-06-20,205168,0,,2012
78936,19980709026079I,1998-07-09,146241,0,,1998
76074,19960406011229I,1996-04-06,111904,0,,1996
113696,20050821019679A,2005-08-21,065458,0,,2005
166725,20250424016919I,2025-04-24,238004,0,,2025
107730,20031226036479I,2003-12-26,025619,0,,2003
33789,19881104060849I,1988-11-04,103088,0,,1988
106837,20030816020609I,2003-08-16,024118,0,,2003
94192,20000712007979A,2000-07-12,092882,0,,2000
140820,20141203022939I,2014-12-03,211164,0,,2014
46110,19901014055209I,1990-10-14,079248,0,,1990
50276,19910713033629I,1991-07-13,109992,0,,1991
45327,19900821041999I,1990-08-21,156362,0,,1990
62871,19930917046649I,1993-09-17,074448,0,,1993
104997,20030512011309A,2003-05-12,023612,0,,2003
33449,19881001052939I,1988-10-01,130457,0,,1988
14223,19850827057349A,1985-08-27,096147,0,,1985
110980,20041203035309I,2004-12-03,182864,0,,2004
122697,20080603835009I,2008-06-03,188196,0,,2008
13028,19850625027879A,1985-06-25,086218,0,,1985
16492,19860228010449I,1986-02-28,131741,0,,1986
43120,19900511015649A,1990-05-11,133619,0,,1990
100418,20011201036399A,2001-12-01,180614,0,,2001
107127,20031016029249A,2003-10-16,031663,0,,2003
132095,20110625011431A,2011-06-25,201275,0,,2011
20650,19860902056619I,1986-09-02,016229,0,,1986
138112,20130914024229A,2013-09-14,208681,0,,2013
104877,20030402004689A,2003-04-02,023433,0,,2003
84692,19980618026549I,1998-06-18,140639,0,,1998
29916,19880407041429I,1988-04-07,129614,0,,1988
101425,20020425009499I,2002-04-25,183150,0,,2002
40095,19891006055299I,1989-10-06,092600,0,,1989
97076,20010225004259I,2001-02-25,175233,0,,2001
146843,20170422003899I,2017-04-22,216391,0,,2017
150111,20180803009829A,2018-08-03,219727,0,,2018
91660,19990925029699A,1999-09-25,110547,0,,1999
120192,20070901823919A,2007-09-01,186022,0,,2007
98324,20010618023469A,2001-06-18,177147,0,,2001
